name,country,party,national_party,profile_url,mep_id,photo_url
Aleksandar Nikolic,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/256883,256883.0,http://commons.wikimedia.org/wiki/Special:FilePath/Aleksandar%20Nikoli%C4%87%20MEP%20%282024%29.jpg
Alessandra Moretti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/124799,124799.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alessandra%20Moretti%20MEP%20%282024%29.jpg
Alessandro Ciriani,Italy,European Conservatives and Reformists Group,independent politician,https://www.europarl.europa.eu/meps/en/257147,257147.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alessandro%20Ciriani%20MEP%20%282024%29.jpg
Alessandro Zan,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257106,257106.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Alessandro%20Zan.jpg
Alex Agius Saliba,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party,https://www.europarl.europa.eu/meps/en/197403,197403.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797537286%2020240618%20AGIUS%20SALIBA%20Alexander%20Matthew%20MT%20007.jpg
Alexander Bernhuber,Austria,Group of the European People's Party (Christian Democrats),Austrian People's Party,https://www.europarl.europa.eu/meps/en/197648,197648.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719412977819%2020240626%20BERNHUBER%20Alexander%20AT%20010.jpg
Alexander Jungbluth,Germany,Europe of Sovereign Nations Group,Europe of Sovereign Nations,https://www.europarl.europa.eu/meps/en/256941,256941.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718704879073%2020240617%20JUNGBLUTH%20Alexander%20DE%20002.jpg
Alexander Sell,Germany,Europe of Sovereign Nations Group,Europe of Sovereign Nations,https://www.europarl.europa.eu/meps/en/256959,256959.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282153435%2020240612%20SELL%20Alexander%20DE%20015.jpg
Alexandr Vondra,Czech Republic,European Conservatives and Reformists Group,Civic Democratic Party,https://www.europarl.europa.eu/meps/en/197537,197537.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718698127115%2020240617%20VONDRA%20Alexandr%20CZ%20007.jpg
Alexandra Geese,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/183916,183916.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra%20Geese%20%2851687121305%29.jpg
Alexandra Mehnert,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/256980,256980.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721921871984%2020240624%20MEHNERT%20Alexandra%20DE%20001.jpg
Alexandre Varaut,France,Patriots for Europe Group,Union for a Popular Movement,https://www.europarl.europa.eu/meps/en/5736,5736.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Varaut%20par%20Claude%20Truong-Ngoc%20mars%202015.jpg
Alice Bah Kuhnke,Sweden,,Green Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Bah%20Kuhnke%202014-12-17%20001.jpg
Alice Teodorescu Måwe,Sweden,Group of the European People's Party (Christian Democrats),Christian Democrats,https://www.europarl.europa.eu/meps/en/257089,257089.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Teodorescu%20M%C3%A5we%20MEP%20%282024%29.jpg
Alicia Homs Ginel,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/122978,122978.0,
Alma Ezcurra,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/257035,257035.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798396804%2020240618%20EZCURRA%20ALMANSA%20Alma%20ES%20007.jpg
Alvise Pérez,Spain,,The Party Is Over,https://www.europarl.europa.eu/meps/en/257019,257019.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720511531544%2020240709%20PEREZ%20FERNANDEZ%20Luis%20ES%20004.jpg
Ana Catarina Mendes,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/257053,257053.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718870168683%2020240619%20MENDES%20Ana%20Catarina%20PT%20003.jpg
Ana Martins,Portugal,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718797445440%2020240618%20VASCONCELOS%20MARTINS%20Ana%20PT%20034.jpg
Ana Miguel Pedro,Portugal,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/110673,110673.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281763870%2020240611%20PEDRO%20SOARES%20Ana%20Miguel%20PT%20011.jpg
Ana Miranda Paz,Spain,Group of the Greens/European Free Alliance,Galician Nationalist Bloc,https://www.europarl.europa.eu/meps/en/24942,24942.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721738850540%2020240723%20EP-171120A%20PB9%20156.jpg
Anders Vistisen,Kingdom of Denmark,Patriots for Europe Group,Danish People's Party,https://www.europarl.europa.eu/meps/en/124875,124875.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anders%20Vistisen%20portrait%202023%20%283%29.jpg
Andi-Lucian Cristea,Romania,,Social Democratic Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andi%20Cristea.jpg
Andrea Wechsler,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/256977,256977.0,
Andreas Glück,Germany,Renew Europe Group,Free Democratic Party,https://www.europarl.europa.eu/meps/en/197443,197443.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Gl%C3%BCck.jpg
Andreas Schieder,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Austria,https://www.europarl.europa.eu/meps/en/197670,197670.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Schieder%20%28cropped%29.jpg
Andreas Schwab,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/28223,28223.0,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Andreas%20Schwab.jpg
Andrey Kovatchev,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,https://www.europarl.europa.eu/meps/en/97968,97968.0,http://commons.wikimedia.org/wiki/Special:FilePath/EP%20-%20Strasbourg%20-%20Andrey%20Kovatchev.jpg
Andrey Novakov,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,https://www.europarl.europa.eu/meps/en/107212,107212.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718705257380%2020240617%20NOVAKOV%20Andrey%20BG%20011.jpg
Andrius Kubilius,Lithuania,,Homeland Union – Lithuanian Christian Democrats,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andrius%20Kubilius%202025%20%28cropped%29.jpg
Andrzej Buła,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/257051,257051.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andrzej%20Bu%C5%82a.jpg
Andrzej Halicki,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/197514,197514.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andrzej%20Halicki%20%28cropped%29.jpg
András Gyürk,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/23816,23816.0,http://commons.wikimedia.org/wiki/Special:FilePath/GyurkAndras.jpg
András Kulja,Hungary,,Respect and Freedom Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A1s%20Kulja%20MEP%20%282024%29.jpg
András László,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/256860,256860.0,
André Rodrigues,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257066,257066.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721060059455%2020240715%20RODRIGUES%20Andre%20PT%20017.jpg
André Rougé,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/197690,197690.0,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9-Roug%C3%A9%20%28cropped%29.jpg
Angelika Niebler,Germany,Group of the European People's Party (Christian Democrats),Christian Social Union of Bavaria,https://www.europarl.europa.eu/meps/en/4289,4289.0,http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Niebler%20-%20February%202014.JPG
Angelika Winzig,Austria,Group of the European People's Party (Christian Democrats),Austrian People's Party,https://www.europarl.europa.eu/meps/en/197652,197652.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718637556964%2020190604%20WINZIG%20Angelika%20AT%207.jpg
Angéline Furet,France,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256896,256896.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719560626777%2020240627%20FURET%20Angeline%20FR%20004.jpg
Anja Arndt,Germany,Europe of Sovereign Nations Group,Alternative for Germany,https://www.europarl.europa.eu/meps/en/256951,256951.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718704848454%2020240617%20ARNDT%20Anja%20DE%20006.jpg
Anja Hazekamp,Kingdom of the Netherlands,,Party for the Animals,https://www.europarl.europa.eu/meps/en/125023,125023.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721728329334%2020240723%20EP-171122A%20DE1%20EG%2005%20%28cropped%2C%20Anja%20Hazekamp%29.jpg
Anna Bryłka,Poland,Patriots for Europe Group,National Movement,https://www.europarl.europa.eu/meps/en/257064,257064.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Bry%C5%82ka%20MEP%20%282024%29.jpg
Anna Cavazzini,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/86793,86793.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Cavazzini%20January%202023.jpg
Anna Maria Cisint,Italy,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/257131,257131.0,http://commons.wikimedia.org/wiki/Special:FilePath/24-02-23%20Convegno%20Europarlamentari%20Gruppo%20ID%20Friuli%2013.jpg
Anna Strolenberg,Kingdom of the Netherlands,Group of the Greens/European Free Alliance,Volt Netherlands,https://www.europarl.europa.eu/meps/en/256990,256990.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718705089434%2020240617%20STROLENBERG%20Anna%20NL%20021.jpg
Anna Stürgkh,Austria,Renew Europe Group,NEOS – The New Austria,https://www.europarl.europa.eu/meps/en/256839,256839.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20St%C3%BCrgkh%20Netzpolitischer%20Abend%20AT-2024-05-22.jpg
Anna Zalewska,Poland,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/197572,197572.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Zalewska%20Sejm%202015.JPG
Anna-Maja Henriksson,Finland,Renew Europe Group,Swedish People's Party of Finland,https://www.europarl.europa.eu/meps/en/198073,198073.0,http://commons.wikimedia.org/wiki/Special:FilePath/Anna-Maja-Henriksson-01%20%28cropped%29.jpg
Annalisa Corrado,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257169,257169.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Annalisa%20Corrado.jpg
Annamária Vicsek,Socialist Federal Republic of Yugoslavia,Patriots for Europe Group,Alliance of Vojvodina Hungarians,https://www.europarl.europa.eu/meps/en/256859,256859.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718895578522%2020240620%20VICSEK%20Annamaria%20HU%20008.jpg
Anne-Sophie Frigout,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/256876,256876.0,http://commons.wikimedia.org/wiki/Special:FilePath/Elue%20UE%201553552.jpg
Anouk van Brug,Kingdom of the Netherlands,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/257438,257438.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719235039466%2020240624%20VAN%20BRUG%20Anouk%20NL%20009.jpg
Anthony Smith,France,,,https://www.europarl.europa.eu/meps/en/256910,256910.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282551242%2020240612%20SMITH%20Anthony%20FR%20004.jpg
Antonella Sberna,Italy,European Conservatives and Reformists Group,Brothers of Italy,https://www.europarl.europa.eu/meps/en/257113,257113.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Antonella%20Sberna.jpg
Antonio Decaro,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257122,257122.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721728502102%2020240723%20EP-171122A%20AH1%20180.jpg
Antonio López-Istúriz White,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/28399,28399.0,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20L%C3%B3pez-Ist%C3%BAriz%20White2.jpg
António Tânger,Portugal,Patriots for Europe Group,Chega,https://www.europarl.europa.eu/meps/en/257050,257050.0,http://commons.wikimedia.org/wiki/Special:FilePath/A.%20T%C3%A2nger%20Corr%C3%AAa%20-%20CHEGA.jpg
Aodhán Ó Ríordáin,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party,https://www.europarl.europa.eu/meps/en/257238,257238.0,http://commons.wikimedia.org/wiki/Special:FilePath/Aodh%C3%A1n%20%C3%93%20R%C3%ADord%C3%A1in.jpg
Arash Saeidi,France,,,https://www.europarl.europa.eu/meps/en/256911,256911.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282656752%2020240612%20SAEIDI%20Arash%20FR%20014.jpg
Arba Kokalari,Sweden,Group of the European People's Party (Christian Democrats),Moderate Party,https://www.europarl.europa.eu/meps/en/197406,197406.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798859152%2020240618%20KOKALARI%20Arba%20SE%20004.jpg
Arkadiusz Mularczyk,Poland,European Conservatives and Reformists Group,Sovereign Poland,https://www.europarl.europa.eu/meps/en/257060,257060.0,http://commons.wikimedia.org/wiki/Special:FilePath/Arkadiusz%20Mularczyk%20Sejm%202016.JPG
Arno Bausemer,Germany,ESN,Alternative for Germany,https://www.europarl.europa.eu/meps/en/256948,256948.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718611539783%2020240614%20BAUSEMER%20Arno%20DE%20001.jpg
Asger Christensen,Kingdom of Denmark,Renew Europe Group,Venstre,https://www.europarl.europa.eu/meps/en/197558,197558.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719322586691%2020240625%20CHRISTENSEN%20Asger%20DK%20004.jpg
Assita Kanko,Belgium,European Conservatives and Reformists Group,New Flemish Alliance,https://www.europarl.europa.eu/meps/en/197469,197469.0,http://commons.wikimedia.org/wiki/Special:FilePath/Assita%20Kanko%20%2853786370946%29%20%28cropped%29.jpg
Auke Zijlstra,Kingdom of the Netherlands,Patriots for Europe Group,Party for Freedom,https://www.europarl.europa.eu/meps/en/103246,103246.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718806667000%2020240612%20ZIJLSTRA%20Auke%20Johan%20NL%20001.jpg
Aura Salla,Finland,Group of the European People's Party (Christian Democrats),National Coalition Party,https://www.europarl.europa.eu/meps/en/98219,98219.0,http://commons.wikimedia.org/wiki/Special:FilePath/EPP%20Helsinki%20Congress%20in%20Finland%2C%207-8%20November%202018%20%2831906508798%29.jpg
Aurelijus Veryga,Lithuania,European Conservatives and Reformists Group,independent politician,https://www.europarl.europa.eu/meps/en/256811,256811.0,http://commons.wikimedia.org/wiki/Special:FilePath/Informal%20meeting%20of%20health%20ministers%20%28iEPSCO%29.%20Round%20table%20Aurelijus%20Veryga%20%2835654085860%29%20%28cropped%29.jpg
Aurore Lalucq,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique,https://www.europarl.europa.eu/meps/en/197697,197697.0,http://commons.wikimedia.org/wiki/Special:FilePath/Aurore%20Lalucq%20-%2020250320%20EP-182300A%20AHA%20014%20%28cropped%29.jpg
Axel Voss,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/96761,96761.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721813553415%2020240723%20EP-171139A%20AR2%20127.jpg
Barbara Bonte,Belgium,Patriots for Europe Group,Flemish Interest,https://www.europarl.europa.eu/meps/en/256881,256881.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718704738471%2020240617%20BONTE%20Barbara%20BE%20004.jpg
Barry Andrews,Ireland,Renew Europe Group,Fianna Fáil,https://www.europarl.europa.eu/meps/en/204332,204332.0,http://commons.wikimedia.org/wiki/Special:FilePath/Barry%20Andrews%2C%20July%202024%20%28cropped%29.jpg
Barry Cowen,Ireland,Renew Europe Group,Fianna Fáil,https://www.europarl.europa.eu/meps/en/257297,257297.0,http://commons.wikimedia.org/wiki/Special:FilePath/Barry%20Cowen.jpg
Bart Groothuis,Kingdom of the Netherlands,Renew Europe Group,People's Party for Freedom and Democracy,https://www.europarl.europa.eu/meps/en/197780,197780.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bart%20Groothuis.jpg
Bartosz Arłukowicz,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/197492,197492.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bartosz%20Ar%C5%82ukowicz%20Sejm%202016.jpg
Bartłomiej Sienkiewicz,Poland,Group of the European People's Party (Christian Democrats),Civic Platform,https://www.europarl.europa.eu/meps/en/86057,86057.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bart%C5%82omiej%20Sienkiewicz%20Sejm%202019.jpg
Bas Eickhout,Kingdom of the Netherlands,Group of the Greens/European Free Alliance,GroenLinks,https://www.europarl.europa.eu/meps/en/96725,96725.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bas-Eickhout-portret.jpg
Beata Szydło,Poland,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/197553,197553.0,http://commons.wikimedia.org/wiki/Special:FilePath/Beata%20Szyd%C5%82o%20MEP%20%282024%29.jpg
Beatrice Rugland Timgren,Sweden,,Sweden Democrats,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718281287819%2020240612%20RUGLAND%20TIMGREN%20Beatrice%20SE%20007.jpg
Benedetta Scuderi,Italy,The Greens–European Free Alliance,Green Europe,https://www.europarl.europa.eu/meps/en/257139,257139.0,http://commons.wikimedia.org/wiki/Special:FilePath/Benedetta%20Scuderi%20MEP%20%282024%29.jpg
Benoît Cassart,Belgium,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718636479120%2020240612%20CASSART%20Benoit%20BE%2006B.jpg
Bernard Guetta,France,Renew Europe Group,Revolutionary Communist League,https://www.europarl.europa.eu/meps/en/197543,197543.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721737249295%2020240723%20EP-171121A%20PB9%20120.jpg
Bert-Jan Ruissen,Kingdom of the Netherlands,European Conservatives and Reformists Group,Reformed Political Party,https://www.europarl.europa.eu/meps/en/197773,197773.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719388956542%2020240626%20RUISSEN%20Bert-Jan%20NL%20010.jpg
Biljana Borzan,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Croatia,https://www.europarl.europa.eu/meps/en/112748,112748.0,http://commons.wikimedia.org/wiki/Special:FilePath/Biljana%20Borzan%20-%20Croatian%20part-%20Citizens%27%20Corner%20debate%20on%20gender%20equality%20in%20EU%20labour%20markets%20%2831691251574%29.jpg
Billy Kelleher,Ireland,Renew Europe Group,Fianna Fáil,https://www.europarl.europa.eu/meps/en/197818,197818.0,http://commons.wikimedia.org/wiki/Special:FilePath/Billy%20Kelleher.jpg
Birgit Sippel,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/96932,96932.0,http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Birgit%20Sippel.jpg
Bogdan Rzońca,Poland,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/197545,197545.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bogdan%20Rzo%C5%84ca%20Sejm%202016.jpg
Bogdan Zdrojewski,Poland,,Civic Platform,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sv%C4%9Bt%20knihy%202010%20-%20Bogdan%20Zdrojewski.JPG
Borja Giménez Larraz,Spain,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/125204,125204.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718718437120%2020240612%20GIMENEZ%20LARRAZ%20Francisco%20ES%20001.jpg
Borys Budka,Poland,Group of the European People's Party (Christian Democrats),Conservative People's Party,https://www.europarl.europa.eu/meps/en/257047,257047.0,http://commons.wikimedia.org/wiki/Special:FilePath/Borys%20Budka%20Sejm%202016.JPG
Brando Benifei,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/124867,124867.0,http://commons.wikimedia.org/wiki/Special:FilePath/Brando%20Benifei%2C%202023.jpg
Branislav Ondruš,Slovakia,,Direction – Social Democracy,https://www.europarl.europa.eu/meps/en/257018,257018.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719820739590%2020240614%20ONDRUS%20Branislav%20SK%20003.jpg
Branko Grims,Slovenia,Group of the European People's Party (Christian Democrats),Slovenian Democratic Party,https://www.europarl.europa.eu/meps/en/220908,220908.0,http://commons.wikimedia.org/wiki/Special:FilePath/Branko%20Grims.jpg
Brigitte van den Berg,Kingdom of the Netherlands,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/256976,256976.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281906262%2020240612%20VAN%20DEN%20BERG%20Brigitte%20NL%20005.jpg
Bruno Gonçalves,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257059,257059.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281800993%2020240612%20GONCALVES%20Bruno%20001PT.jpg
Bruno Tobback,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vooruit,https://www.europarl.europa.eu/meps/en/256885,256885.0,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Tobback%20Studio%20Vlaams%20Parlement.png
Camilla Laureti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/230085,230085.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718700287716%2020240617%20LAURETI%20Camilla%20ES%20008.jpg
Carla Tavares,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257071,257071.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719233136862%2020240624%20TAVARES%20Carla%20PT%20005.jpg
Carlo Ciccioli,Italy,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/257093,257093.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719328387126%2020240625%20CICCiOLI%20Carlo%20IT%20004.jpg
Carlo Fidanza,Italy,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/96810,96810.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Carlo%20Fidanza.jpg
Carmen Crespo,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/257034,257034.0,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Crespo%20%28cropped%29.jpg
Carola Rackete,Germany,,,https://www.europarl.europa.eu/meps/en/256927,256927.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282192504%2020240612%20RACKETE%20Carola%20DE%20001.jpg
Carolina Morace,Italy,,,https://www.europarl.europa.eu/meps/en/257140,257140.0,http://commons.wikimedia.org/wiki/Special:FilePath/Carolina%20Morace%20Bench%20%28cropped%29.jpg
Catarina Martins,Portugal,European United Left–Nordic Green Left,Left Bloc,https://www.europarl.europa.eu/meps/en/257063,257063.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281764385%2020240611%20SOARES%20MARTINS%20Catarina%20PT%20005.jpg
Catarina Vieira,Kingdom of the Netherlands,Group of the Greens/European Free Alliance,GroenLinks,https://www.europarl.europa.eu/meps/en/257437,257437.0,http://commons.wikimedia.org/wiki/Special:FilePath/Catarina%20Vieira%20MEP%20%282024%29.jpg
Caterina Chinnici,Italy,Group of the European People's Party (Christian Democrats),Democratic Party,https://www.europarl.europa.eu/meps/en/124861,124861.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Caterina%20Chinnici.jpg
Catherine Griset,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/94649,94649.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718294517117%2020240613%20GRISET%20Catherine%20FR%20012.jpg
Cecilia Strada,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257101,257101.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Cecilia%20Strada.jpg
Charles Goerens,Luxembourg,Renew Europe Group,Democratic Party,https://www.europarl.europa.eu/meps/en/840,840.0,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Goerens%20-%20Walk%204%20Europe%20in%20European%20parliament%20in%20Strasbourg%2020170405%20CROP%2001.jpg
Charlie Weimers,Sweden,European Conservatives and Reformists Group,Sweden Democrats,https://www.europarl.europa.eu/meps/en/123562,123562.0,http://commons.wikimedia.org/wiki/Special:FilePath/Charlie%20Weimers%20in%202019.jpg
Chiara Maria Gemma,Italy,,Brothers of Italy,,,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Chiara%20Gemma.jpg
Chloé Ridel,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/256904,256904.0,http://commons.wikimedia.org/wiki/Special:FilePath/Chlo%C3%A9%20Ridel%2020240724%20EP-171148A%20AR2%20428%20%28cropped%29.jpg
Christel Schaldemose,Kingdom of Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democrats,https://www.europarl.europa.eu/meps/en/37312,37312.0,http://commons.wikimedia.org/wiki/Special:FilePath/Christel.Schaldemose.jpg
Christian Doleschal,Germany,Group of the European People's Party (Christian Democrats),Christian Social Union of Bavaria,https://www.europarl.europa.eu/meps/en/197473,197473.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718636839273%2020190528%20DOLESCHAL%20Christian%20DE%2015.jpg
Christian Ehler,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/28226,28226.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721744186346%2020240723%20EP-171119A%20PB9%20125%20%28cropped%29.jpg
Christine Anderson,Germany,Europe of Sovereign Nations Group,Alternative for Germany,https://www.europarl.europa.eu/meps/en/197475,197475.0,http://commons.wikimedia.org/wiki/Special:FilePath/073%20b%20Christine%20Anderson%20EU%20Parlament.jpg
Christine Schneider,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/197422,197422.0,http://commons.wikimedia.org/wiki/Special:FilePath/Christine%20Schneider%20MdEP%2C%20EP%202019.jpg
